player_id,name,team,PA,runs_per_pa,wRAA,wRC,wRC_plus
547180,bryce harper,PHI,99,0.06773372066543823,7.099134905152389,29.713641987278297,164.31550415105272
666139,josh lowe,TB,2,0.06586068710085066,0.13967443429114995,0.5965331632229864,162.63720481920473
656716,zach mckinstry,DET,81,0.06482778995518505,5.573231096261519,24.0760096180009,161.71169519555838
665833,oneil cruz,PIT,82,0.06377062977162898,5.5554333922252725,24.28664127843057,160.76444509643423
642136,matt thaiss,CWS,46,0.06317485388660544,3.0890835345276773,13.596834299959918,160.2306104184709
807712,luke keaschall,MIN,13,0.06229683921874726,0.8615987524749522,3.8311804905318896,159.44388056040577
592885,christian yelich,MIL,86,0.062167072304175786,5.688658005133462,25.333583349202435,159.32760516089402
677800,wilyer abreu,BOS,84,0.061443829910428516,5.495670217277701,24.683736832414837,158.67955632229382
670224,kameron misner,TB,57,0.0602766568409327,3.662740475461713,16.683214250019056,157.63373107937184
660688,keibert ruiz,WSH,78,0.06017843617469122,5.004517398328817,22.822007826670443,157.54572215009082
663853,romy gonzalez,BOS,29,0.0590061845963567,1.8266915929244214,8.45114316243605,156.4953463971556
670223,matt mervis,MIA,61,0.05895461749959254,3.8392087408009714,17.773399973221984,156.44914059194159
656941,kyle schwarber,PHI,100,0.05861823105139377,6.260178814311329,29.10311526090316,156.1477273327622
666160,mickey moniak,COL,58,0.058324363611502006,3.6138759381572085,16.862779077180466,155.88441249561947
805779,jacob wilson,ATH,82,0.057444501691370164,5.03719420342589,23.768402089631188,155.09602743910236
702358,trey lipscomb,WSH,4,0.05622853889645381,0.24085765841923468,1.1545751162829077,154.0064850065248
670623,isaac paredes,HOU,93,0.05512077213739156,5.497018207817654,26.740949103148054,153.01388976064783
700250,ben rice,NYY,78,0.05471945808835398,4.579130243502158,22.396620671843785,152.6542992476453
606192,teoscar hernández,LAD,75,0.054453633246983144,4.383092330308604,21.515294665252473,152.4161114959167
680977,brendan donovan,STL,93,0.05294796601106481,5.295143298934681,26.539074194265083,151.06698440935344
641584,jake fraley,CIN,59,0.05287549112199568,3.355012588847656,16.832345092336833,151.00204453844023
695578,james wood,WSH,95,0.05226132294490254,5.3438495480415265,27.04463917230376,150.4517297652585
592192,mark canha,KC,21,0.05181182111404314,1.1718416256910782,5.968858279475362,150.04896142375154
663538,nico hoerner,CHC,86,0.0511625185130792,4.743184622632372,24.388109966701343,149.4671650577025
596115,trevor story,BOS,90,0.05061556322028384,4.914619646413436,25.47326244834608,148.97707522706386
686217,sal frelick,MIL,88,0.050332661078913016,4.780534642988805,24.882318715989612,148.72358565601843
608070,josé ramírez,CLE,84,0.04896633215550926,4.448577342225662,23.636643957362796,147.4993102545586
608369,corey seager,TEX,80,0.048926926194451215,4.233590907758769,22.50794006503223,147.46400122466991
663457,lars nootbaar,STL,97,0.0474223656715982,4.98742820661437,27.145076559808444,146.1158657892085
673548,seiya suzuki,CHC,85,0.04679007624984023,4.31673432424234,23.733230303845392,145.54931378814777
680757,steven kwan,CLE,94,0.046577262517414696,4.753815230173494,26.226175489969812,145.35862572377422
543807,george springer,TOR,71,0.04644191200043889,3.581047111213411,19.79953198829361,145.23734723389526
677950,alek thomas,AZ,60,0.04577955750112123,2.986534284696118,16.692296152651217,144.64385594005606
666310,bo naylor,CLE,54,0.04454614909210283,2.6213414252197142,14.956527106379301,143.5386816666804
663728,cal raleigh,SEA,99,0.043499781515948244,4.7023027322120035,27.316809814337912,142.60110209676256
628451,andy ibáñez,DET,39,0.04195805627858594,1.7923533431359946,10.701098557306807,141.21966586162057
527038,wilmer flores,SF,84,0.041074501059630744,3.786306727241934,22.974373342379067,140.4279714885676
542963,rob brantly,MIA,7,0.040966432103908205,0.3147698118964084,1.9137753631578363,140.3311381698211
666149,tyler fitzgerald,SF,70,0.040546765355297894,3.1183499494968476,19.10840546211113,139.9551030377723
621566,matt olson,ATL,89,0.039543802604991116,3.8755821454817045,24.20579558294843,139.05641561137853
620443,luis torrens,NYM,53,0.03907181903687911,2.2829400825733988,14.389696399267066,138.63350289802304
672356,gabriel arias,CLE,72,0.03834859786884388,3.0493311640795353,19.49624540562565,137.98547307835497
680574,matt mclain,CIN,59,0.038334448377372356,2.497923471669795,15.975255975158973,137.97279467123425
630105,jake cronenworth,SD,45,0.03830383595922313,1.9038196459927248,12.183141046959047,137.94536494338664
606466,ketel marte,AZ,32,0.03822846866847088,1.3514178905346066,8.661157553443992,137.87783338596867
545361,mike trout,LAA,90,0.03791637107446263,3.7728012870194747,24.33144408895212,137.59818373451637
